,Site,Domain Rating,Total Backlinks,Total Keywords,Total Traffic,Queries,Knowledge_Panel_Results
0,ferryads.com,1.0,44,0,0,ferryads,False
1,gotlice.nyc,0.0,2,0,0,gotlice,True
2,gradoassociates.com,0.0,5,0,0,gradoassociates,False
3,kemenycpa.com,0.0,5,0,0,kemenycpa,False
4,rainbowcct.com,0.0,10,0,0,rainbowcct,False
5,selectpop.com,0.0,12,0,0,selectpop,False
6,framboisecatering.com#home,,0,0,0,framboisecatering,True
7,lionsprideleadership.com,8.0,55,1,0,lionsprideleadership,False
8,prcision.com,7.0,170,1,0,prcision,True
9,postbot.us,6.0,113,1,0,postbot,False
10,gigispecialtypharmacy.com,1.0,7,1,0,gigispecialtypharmacy,True
11,milano4you.com,0.0,10,1,0,milano4you,False
12,siuh.edu,46.0,4629,2,16,siuh,True
13,shemediany.com,0.0,5,2,1,shemediany,False
14,oecny.com,0.0,54,2,0,oecny,True
15,doreenminserracpa.net,0.0,75,4,0,doreenminserracpa,True
16,marianawassef.com,0.0,6,4,0,marianawassef,False
17,prinziandco.com,0.0,16,4,0,prinziandco,True
18,showtimepublications.wordpress.com,0.0,3,4,0,showtimepublications,False
19,constructiveconcepts.com,0.0,30,5,5,constructiveconcepts,False
20,timelessme.com,6.0,499,5,1,timelessme,True
21,designertouchinteriors.net,0.0,11,5,1,designertouchinteriors,False
22,inspireis.com,6.0,16,6,0,inspireis,False
23,nyhomeinspector.vpweb.com,82.0,56,7,6,nyhomeinspector,False
24,goldenkeyinteriors.com,1.0,24,7,3,goldenkeyinteriors,True
25,wealthandlegacygroup.com,3.0,52,7,1,wealthandlegacygroup,True
26,wdcpa.com,0.0,96,7,0,wdcpa,False
27,martech.nyc,18.0,15,8,1,martech,False
28,nyc-craniosacral.com,2.0,182,8,0,nyc-craniosacral,False
29,fuscoassociates.com,0.0,22,9,10,fuscoassociates,True
30,rampulla.net,5.0,30,11,37,rampulla,True
31,jvnr.com,0.0,13,13,32,jvnr,False
32,iliceto.com,0.0,7,13,1,iliceto,True
33,ptvantage.com,0.0,26,14,10,ptvantage,False
34,statenartsphotography.com,0.0,84,14,1,statenartsphotography,True
35,jcdangelocpa.com,1.0,28,15,1,jcdangelocpa,True
36,behrinslaw.com,0.0,37,16,13,behrinslaw,True
37,naso-organization.com,1.0,96,16,0,naso-organization,False
38,aiasiny.com,0.0,4,17,0,aiasiny,False
39,si-nyc.com,0.0,293,17,0,si-nyc,True
40,richmondelevator.com,1.0,24,18,48,richmondelevator,False
41,cdsystems.com,28.0,204,18,13,cdsystems,False
42,kmckernanlaw.com,2.0,136,18,4,kmckernanlaw,True
43,p1servicesonline.com,2.0,101,18,4,p1servicesonline,True
44,familylimousinesi.com,,1,18,3,familylimousinesi,False
45,loveyourfurnitureagain.com,1.0,10,18,0,loveyourfurnitureagain,True
46,apexcreditsolutions.com,0.0,83,19,23,apexcreditsolutions,True
47,russoappraisals.com,2.0,122,19,1,russoappraisals,True
48,dtgcpas.com,1.0,48,19,0,dtgcpas,True
49,kmelawyer.com,0.0,12,20,3,kmelawyer,False
50,hanleyfuneralhomeinc.com,3.0,67,21,148,hanleyfuneralhomeinc,True
51,tremerandtremer.com,0.0,47,21,1,tremerandtremer,True
52,vanalphenbros.com,4.0,37,22,31,vanalphenbros,False
53,jacobsoncontracting.com,4.0,61,22,29,jacobsoncontracting,False
54,avsarch.com,2.0,9,22,2,avsarch,False
55,kathyskapersgcllc.com,0.0,70,22,1,kathyskapersgcllc,True
56,thehallofframes.com,11.0,1518,23,84,thehallofframes,True
57,otterbecklaw.com,3.0,54,23,16,otterbecklaw,True
58,kcmplumbing.us,0.0,36,25,19,kcmplumbing,True
59,beeforeverevents.com,2.0,18,25,2,beeforeverevents,False
60,mlmpublicrelations.com,5.0,44,25,0,mlmpublicrelations,False
61,mlattorneys.com,9.0,6617,26,94,mlattorneys,False
62,newworldprep.org,7.0,53,29,181,newworldprep,True
63,radio.edelmanfinancialengines.com,56.0,103,29,170,radio,False
64,molloyelectric.com,1.0,7,29,7,molloyelectric,True
65,platmtg.com,4.0,101,34,98,platmtg,True
66,baltmans.com,0.0,183,34,4,baltmans,False
67,nicholasmoccialaw.com,2.0,421,34,2,nicholasmoccialaw,True
68,gkplumbingsupply.com,0.0,5,35,69,gkplumbingsupply,True
69,cbvlaw.com,0.0,5,35,16,cbvlaw,True
70,domegroup.com,18.0,127,36,98,domegroup,True
71,stgeorgepharmacy.org,3.0,62,36,32,stgeorgepharmacy,True
72,portrichmondglass.com,0.0,17,36,24,portrichmondglass,True
73,crossroadsunlimitedinc.org,5.0,16,37,50,crossroadsunlimitedinc,True
74,royalpress.com,0.0,305,39,60,royalpress,False
75,drpelectric.com,1.0,10,39,9,drpelectric,True
76,allproroofingsi.com,2.0,2050,40,35,allproroofingsi,True
77,rosascirigliano.com,4.0,4652,41,1,rosascirigliano,True
78,illuminetmedia.com,0.0,2120,41,0,illuminetmedia,False
79,vinodivinoschoolofwine.com,3.0,62,43,54,vinodivinoschoolofwine,True
80,cutronaarchitecture.com,2.0,8,43,27,cutronaarchitecture,True
81,drtaherismiles.com,0.0,34,43,1,drtaherismiles,True
82,koshylawfirm.com,1.0,122,44,12,koshylawfirm,True
83,teammucci.com,0.0,230,45,7,teammucci,True
84,cleanswiftnyc.com,3.0,51,45,1,cleanswiftnyc,True
85,southshorestatenislandhomesforsale.com,0.0,70,45,1,southshorestatenislandhomesforsale,True
86,mpcpas.com,2.0,37,45,0,mpcpas,False
87,klingrealestateltd.com,0.0,24,47,10,klingrealestateltd,True
88,postexterminating.com,0.0,81,49,50,postexterminating,True
89,fpcamerica.com,2.0,54,49,2,fpcamerica,True
90,ilpallinosi.com,2.0,52,51,12,ilpallinosi,False
91,totalelectricny.com,0.0,8,52,44,totalelectricny,True
92,milleniummedbill.com,0.0,3,52,24,milleniummedbill,True
93,collercpa.com,1.0,36,54,27,collercpa,False
94,michaelsmovingusa.com,1.0,204,57,59,michaelsmovingusa,True
95,aj-powerwashing.com,0.0,7,57,24,aj-powerwashing,False
96,jmtmedia.nyc,9.0,87,58,20,jmtmedia,False
97,gibraltartransmissions.com,2.0,372,60,149,gibraltartransmissions,False
98,thriftyexterminating.com,1.0,38,61,27,thriftyexterminating,True
99,mangielectricalcorp.com,2.0,33,63,2,mangielectricalcorp,True
100,prosho.com,14.0,72,65,73,prosho,True
101,avisdds.com,5.0,54,67,20,avisdds,True
102,promptuc.com,18.0,87,69,84,promptuc,True
103,juicylucybbq.com,2.0,8,69,81,juicylucybbq,True
104,a-1servicemasters.com,0.0,64,70,23,a-1servicemasters,True
105,sagonalandscaping.com,2.0,153,71,31,sagonalandscaping,True
106,savobrothers.com,1.0,72,71,19,savobrothers,True
107,auroracomputer.com,5.0,187,71,10,auroracomputer,True
108,bobslocksmith.com,2.0,90,72,241,bobslocksmith,False
109,holtermannsbakery.webs.com,1.0,76,72,169,holtermannsbakery,True
110,siaudiological.com,2.0,92,73,74,siaudiological,True
111,marcowsg.com,2.0,231,73,12,marcowsg,True
112,richmondcontainer.com,0.0,35,73,7,richmondcontainer,True
113,brightonusa.biz,1.0,345,75,80,brightonusa,True
114,movingpicturesnyc.com,20.0,1333,76,2,movingpicturesnyc,True
115,evaappraisals.com,6.0,38,78,11,evaappraisals,True
116,vintagewinesinc.com,1.0,64,81,24,vintagewinesinc,True
117,metrolube.com,0.0,58,82,90,metrolube,True
118,troinet.com,6.0,417,82,25,troinet,True
119,opticalpavilion.com,0.0,165,84,77,opticalpavilion,True
120,brownsenergy.com,5.0,240,85,98,brownsenergy,True
121,homeportwinesnyc.com,2.0,8,85,2,homeportwinesnyc,True
122,oceanviewcemetery.net,6.0,122,86,411,oceanviewcemetery,True
123,cr-si.org,7.0,64,88,113,cr-si,False
124,ffcenergy.com,7.0,193,88,77,ffcenergy,False
125,ceejayrealestatedev.com,4.0,47,89,29,ceejayrealestatedev,True
126,aaacpallp.com,0.0,172,89,24,aaacpallp,False
127,troostbros.com,1.0,85,90,67,troostbros,True
128,utasi.org,20.0,508,90,3,utasi,False
129,tri-starconstruction.com,2.0,1438,95,63,tri-starconstruction,True
130,victoryworldwide.com,10.0,823,95,45,victoryworldwide,False
131,chargemediagroup.com,7.0,160,98,28,chargemediagroup,True
132,richmondaluminum.com,0.0,769,99,89,richmondaluminum,True
133,paulofinancialadvisors.com,1.0,61,99,15,paulofinancialadvisors,True
134,kitchensnthings.com,1.0,76,102,260,kitchensnthings,True
135,maffeofoundation.org,0.0,13,103,44,maffeofoundation,True
136,leporelaw.com,8.0,6365,107,53,leporelaw,False
137,hallandhalllaw.com,0.0,186,107,42,hallandhalllaw,False
138,statwoodwindows.com,1.0,64,110,59,statwoodwindows,True
139,bioonenynj.com,20.0,869,110,1,bioonenynj,True
140,pooltherapist.com,8.0,183,113,69,pooltherapist,True
141,statenlaw.com,8.0,64,113,48,statenlaw,True
142,dileospizzasi.com,1.0,51,115,125,dileospizzasi,True
143,thecakechef.com,2.0,17,117,485,thecakechef,False
144,advancelocksi.com,1.0,446,117,200,advancelocksi,True
145,smilestatenisland.com,3.0,207,121,10,smilestatenisland,False
146,drennanmovers.com,24.0,543,124,107,drennanmovers,True
147,statenweb.com,43.0,766567,124,43,statenweb,True
148,safehrbr.com,0.0,42,128,36,safehrbr,True
149,theoldbermudainn.com,18.0,2454,129,1005,theoldbermudainn,True
150,viksfinejewelry.com,3.0,61,132,39,viksfinejewelry,True
151,sinfpa.org,11.0,30,134,10,sinfpa,True
152,capehousegallery.com,2.0,219,136,21,capehousegallery,False
153,sirocksny.com,2.0,105,145,52,sirocksny,True
154,powerflosewerservice.com,13.0,274,148,42,powerflosewerservice,True
155,tasteofhoney.com,6.0,304,151,138,tasteofhoney,True
156,thevonagency.com,10.0,69684,156,28,thevonagency,False
157,breezinhvac.com,26.0,868,158,73,breezinhvac,True
158,dkscpa.com,1.0,147,158,2,dkscpa,False
159,webuildnyc.com,25.0,1098,164,15,webuildnyc,True
160,sweetbrookgardencenter.com,0.0,128,165,75,sweetbrookgardencenter,True
161,unlimitedpest.com,13.0,3123,167,15,unlimitedpest,True
162,rothins.com,1.0,124,168,180,rothins,False
163,childrenatplayeic.org,2.0,39,172,285,childrenatplayeic,True
164,greggmechanical.com,4.0,242,177,73,greggmechanical,True
165,cloveauto.com,3.0,412,177,6,cloveauto,True
166,spotlighttheatresi.org,16.0,70,182,278,spotlighttheatresi,True
167,deckmastercompany.com,6.0,291,183,87,deckmastercompany,True
168,sparepairvisioncenter.com,0.0,585,190,127,sparepairvisioncenter,True
169,aamcostatenisland.com,4.0,328,191,20,aamcostatenisland,True
170,dependableautobody.com,16.0,181,192,134,dependableautobody,True
171,northfieldldc.org,24.0,382,194,45,northfieldldc,False
172,heroldinc.com,33.0,117,195,89,heroldinc,True
173,brownieshobbies.com,21.0,342,198,146,brownieshobbies,True
174,sicatering.com,9.0,211,199,320,sicatering,True
175,silverlakeapartments.net,0.0,56,211,124,silverlakeapartments,False
176,childrensharbormontessori.com,10.0,160,213,103,childrensharbormontessori,True
177,ventocpa.com,41.0,57929,221,167,ventocpa,True
178,eger.org,29.0,778,222,597,eger,True
179,salmonrealestate.com,9.0,595,222,116,salmonrealestate,True
180,threesonsprinting.com,5.0,337,234,42,threesonsprinting,True
181,siciliving.org,33.0,118,236,25,siciliving,True
182,cascsiny.org,3.0,32,239,214,cascsiny,True
183,boutiqueboutiquenyc.com,4.0,46,239,122,boutiqueboutiquenyc,True
184,gcny.org,17.0,292,241,249,gcny,False
185,encorerealestateagents.com,5.0,352,244,86,encorerealestateagents,False
186,thumplocal.net,73.0,233936,246,113,thumplocal,False
187,valpaksi.com,65.0,5329,246,68,valpaksi,False
188,elanhairandnailssi.com,1.0,36,250,56,elanhairandnailssi,True
189,islandchateau.com,8.0,163,251,253,islandchateau,True
190,beyarsmarket.com,2.0,439,252,152,beyarsmarket,True
191,ruccioil.com,1.0,646,254,80,ruccioil,True
192,italianissimony.com,4.0,109,257,382,italianissimony,False
193,informbusiness.com,1.0,23,260,3,informbusiness,False
194,mrsrosemarys.com,2.0,58,262,118,mrsrosemarys,True
195,millerslaunch.com,15.0,215,264,225,millerslaunch,True
196,bymedicalbilling.com,2.0,265,265,4,bymedicalbilling,True
197,rocksolidyards.com,1.0,428,268,48,rocksolidyards,True
198,gaetainc.com,6.0,124,272,468,gaetainc,True
199,trattoriaromanasi.com,4.0,56,277,579,trattoriaromanasi,True
200,rpminsurance.com,10.0,930,277,112,rpminsurance,True
201,shamrockpaints.com,2.0,51,280,92,shamrockpaints,False
202,castellanoshouseofmusic.com,9.0,1013,284,288,castellanoshouseofmusic,False
203,ourislandrealestate.com,6.0,57,286,163,ourislandrealestate,True
204,jodysclubforest.com,2.0,156,288,183,jodysclubforest,True
205,grandoaksnyc.com,27.0,783,289,353,grandoaksnyc,True
206,casa-belvedere.org,28.0,819,293,237,casa-belvedere,True
207,echoorganization.org,15.0,146,293,118,echoorganization,False
208,avspny.org,28.0,154,295,206,avspny,False
209,westshoreinn.com,4.0,165,305,776,westshoreinn,True
210,annadaleterrace.com,2.0,152,312,929,annadaleterrace,True
211,partnersinsound.com,42.0,1787,317,174,partnersinsound,True
212,maizalrestaurant.com,12.0,482,323,399,maizalrestaurant,False
213,tekiegeek.com,17.0,340,335,42,tekiegeek,True
214,magicxstudios.com,70.0,53953,338,79,magicxstudios,False
215,graceofny.org,15.0,261,344,279,graceofny,True
216,leenolan.com,6.0,264,344,113,leenolan,False
217,wonicarealtors.com,5.0,943,364,85,wonicarealtors,True
218,pccsny.org,19.0,409,366,145,pccsny,True
219,potterlamarca.com,4.0,116,376,20,potterlamarca,True
220,montalbanospools-spas.com,6.0,1079,379,604,montalbanospools-spas,False
221,sandyhookpilots.com,26.0,254,382,210,sandyhookpilots,False
222,vnasi.org,7.0,281,382,195,vnasi,True
223,onyourmark.org,26.0,1431,391,769,onyourmark,False
224,adobeblues.com,12.0,392,396,405,adobeblues,True
225,mealsonwheelsofstatenisland.com,17.0,202,397,80,mealsonwheelsofstatenisland,True
226,celebrateatsnugharbor.com,27.0,2568,398,556,celebrateatsnugharbor,True
227,chefmikesrodizio.com,3.0,131,401,160,chefmikesrodizio,True
228,matrixcompanies.com,29.0,613,412,306,matrixcompanies,True
229,chasiny.org,32.0,705,416,277,chasiny,False
230,sofiastaquerianyc.com,2.0,25,418,178,sofiastaquerianyc,True
231,statenislandhomesearch.com,21.0,1118,436,235,statenislandhomesearch,True
232,woofandtailslodge.com,1.0,606,438,478,woofandtailslodge,True
233,country-awards.com,2.0,21,443,19,country-awards,True
234,killmeyers.com,22.0,1277,446,514,killmeyers,True
235,camelotcounseling.org,9.0,264,453,264,camelotcounseling,False
236,wiesnerbros.com,1.0,340,457,168,wiesnerbros,True
237,vanderbiltsouthbeach.com,30.0,2002,462,590,vanderbiltsouthbeach,True
238,digitaledge.net,31.0,2650,465,331,digitaledge,False
239,garibaldimeuccimuseum.org,31.0,1803,469,594,garibaldimeuccimuseum,True
240,grand-plaza.com,27.0,2170,472,332,grand-plaza,False
241,thestaaten.com,22.0,349,483,744,thestaaten,True
242,trimalawn.net,19.0,184,495,123,trimalawn,True
243,drscafuri.com,16.0,172,499,1231,drscafuri,True
244,cafelunanyc.com,2.0,217,508,503,cafelunanyc,True
245,masterrealtors.net,7.0,137,515,96,masterrealtors,True
246,afamilyflorist.com,3.0,410,521,325,afamilyflorist,True
247,etgstores.com,32.0,1599,544,821,etgstores,True
248,auntbutchiesofbrooklyn.com,11.0,621,558,1762,auntbutchiesofbrooklyn,False
249,cornerhousebbq.com,8.0,131,563,358,cornerhousebbq,True
250,briosorestaurants.com,12.0,153,565,2480,briosorestaurants,False
251,scamardellafuneralhome.com,1.0,80,565,182,scamardellafuneralhome,True
252,integrationcharterschools.org,7.0,806,573,166,integrationcharterschools,False
253,ciropizzacafes.com,3.0,130,575,1483,ciropizzacafes,True
254,lfdsi.org,18.0,736,583,201,lfdsi,False
255,tomco.co,61.0,59084,586,156,tomco,True
256,victorystatebank.com,22.0,926,603,1129,victorystatebank,False
257,mandarinochiropractic.com,5.0,279,617,232,mandarinochiropractic,False
258,coastalsupplygroup.com,32.0,897,628,802,coastalsupplygroup,False
259,thenewmillenniumtrainingcenter.com,15.0,19169,629,125,thenewmillenniumtrainingcenter,True
260,seamenssociety.org,23.0,314,659,227,seamenssociety,False
261,relevantpr.com,16.0,1299,670,181,relevantpr,False
262,officespacestatenisland.com,20.0,1019,676,334,officespacestatenisland,False
263,reliableoffice.com,22.0,114,688,622,reliableoffice,True
264,realestateplanninglaw.com,9.0,390,692,161,realestateplanninglaw,True
265,violettescellar.com,16.0,127,701,295,violettescellar,True
266,muss.com,34.0,4922,705,391,muss,False
267,richmondcountycc.org,26.0,537,708,832,richmondcountycc,True
268,alpha-imaging.com,12.0,1002,711,465,alpha-imaging,True
269,fuggettapools.com,2.0,241,731,142,fuggettapools,True
270,alfonsospastries.com,17.0,422,734,579,alfonsospastries,False
271,hca-si.com,6.0,596,740,819,hca-si,False
272,silverlakegolf.com,22.0,1827,753,1268,silverlakegolf,True
273,garberbuilding.com,3.0,156,761,374,garberbuilding,True
274,bobmims.com,3.0,266,784,272,bobmims,True
275,projecthospitality.org,39.0,2169,798,540,projecthospitality,False
276,joeandpatsny.com,13.0,175,834,1240,joeandpatsny,True
277,afbennett.com,21.0,812,835,394,afbennett,True
278,deninossi.com,28.0,323,840,1567,deninossi,True
279,samgregoriosflorist.com,11.0,387,849,288,samgregoriosflorist,True
280,angelinasristorante.com,39.0,887,852,2161,angelinasristorante,True
281,unitedactivities.org,16.0,214,861,647,unitedactivities,True
282,triangleequities.com,31.0,703,869,362,triangleequities,True
283,relaxoncloud9.com,5.0,771,887,502,relaxoncloud9,True
284,thebrielle.com,10.0,348,912,324,thebrielle,True
285,foxfloorsstatenisland.com,0.0,45,918,172,foxfloorsstatenisland,True
286,barrysautobody.com,5.0,590,942,372,barrysautobody,True
287,supremememorials.com,21.0,582,984,283,supremememorials,True
288,williamseyeworks.com,16.0,326,1097,656,williamseyeworks,True
289,nycid.org,36.0,3648,1150,1433,nycid,False
290,sundogtheatre.org,31.0,1671,1161,171,sundogtheatre,True
291,aglawnyc.com,29.0,6970,1177,292,aglawnyc,False
292,bedellpizzo.com,2.0,467,1184,698,bedellpizzo,True
293,pac-plumbing.com,10.0,308,1236,268,pac-plumbing,False
294,marinacafesiny.com,4.0,210,1260,2031,marinacafesiny,True
295,hollywiesnerolivieri.com,26.0,700,1269,227,hollywiesnerolivieri,True
296,tireempire.com,8.0,446,1315,784,tireempire,True
297,alrcorp.nyc,3.0,750,1316,24,alrcorp,True
298,richmondchandelier.com,0.0,98,1333,228,richmondchandelier,True
299,makerspace.nyc,43.0,12105,1393,923,makerspace,True
300,partyonthegrill.com,42.0,3182,1407,2769,partyonthegrill,False
301,flowersbybernard.com,12.0,1127,1435,475,flowersbybernard,True
302,moravianflorist.com,14.0,784,1603,725,moravianflorist,True
303,sifunpark.com,24.0,434,1658,1033,sifunpark,True
304,esbna.com,28.0,7885,1703,1076,esbna,True
305,cutestcookies.com,10.0,407,1707,310,cutestcookies,True
306,geraldpetersinc.com,23.0,561,1723,370,geraldpetersinc,False
307,cookmaran.com,33.0,44061,1750,1082,cookmaran,True
308,scaran.com,23.0,1360,1758,479,scaran,True
309,notredameacademy.org,33.0,471,1762,1108,notredameacademy,False
310,gatewayarmsrealty.com,22.0,1527,1813,714,gatewayarmsrealty,True
311,thestonehousesi.com,21.0,451,1815,1378,thestonehousesi,True
312,lighthousemuseum.org,41.0,3030,1911,497,lighthousemuseum,True
313,gillanihomes.com,10.0,340,1989,430,gillanihomes,False
314,sichamber.com,44.0,8449,2003,500,sichamber,False
315,hicofsi.org,13.0,424,2179,173,hicofsi,False
316,islandautogroup.com,12.0,719,2180,1528,islandautogroup,False
317,gothamsi.com,3.0,134760,2222,408,gothamsi,False
318,clarksflorist.com,11.0,888,2239,1232,clarksflorist,True
319,statenislandacademy.org,32.0,3857,2241,3664,statenislandacademy,True
320,pridecentersi.org,42.0,4028,2241,691,pridecentersi,True
321,donjonrecycling.com,6.0,551,2356,869,donjonrecycling,False
322,casandraproperties.com,12.0,4439,2361,615,casandraproperties,True
323,wickedstitchesgifts.com,11.0,145,2423,196,wickedstitchesgifts,True
324,richmondvalleyvet.com,17.0,5357,2492,624,richmondvalleyvet,False
325,bonfiglioasteritalaw.com,6.0,106,2565,556,bonfiglioasteritalaw,False
326,atiofny.com,25.0,579,2647,2114,atiofny,False
327,5050skatepark.com,26.0,1416,2654,447,5050skatepark,True
328,martino-realty.com,16.0,716,2913,183,martino-realty,True
329,bayharbormotors.com,25.0,233,2955,609,bayharbormotors,True
330,defalcorealty.com,36.0,12176,3010,1382,defalcorealty,True
331,eden2.org,41.0,2393,3129,2449,eden2,False
332,mazarsusa.com,50.0,585538,3484,2987,mazarsusa,True
333,sijcc.org,36.0,5181,3495,1859,sijcc,True
334,idbny.com,54.0,1940,3527,2435,idbny,True
335,matthewfuneralhome.com,5.0,366,3723,1877,matthewfuneralhome,True
336,pastosa.com/,30.0,1747,3933,4755,pastosa,False
337,bowlatrabs.com,33.0,844,4004,1574,bowlatrabs,True
338,edsisolutions.com,39.0,4997,4028,3648,edsisolutions,True
339,statenislandarts.org,49.0,12796,4036,524,statenislandarts,True
340,siborrealtors.com,37.0,21471,4095,3568,siborrealtors,True
341,costellosace.com,23.0,914,4211,3371,costellosace,False
342,casalejewelers.net,24.0,563,4300,533,casalejewelers,True
343,historicrichmondtown.org,52.0,19936,4313,2671,historicrichmondtown,True
344,scaliahome.com,9.0,558,4564,1811,scaliahome,True
345,pfnyc.org,57.0,9530,4947,1209,pfnyc,True
346,statenislandmuseum.org,51.0,7892,5463,1877,statenislandmuseum,True
347,colonialfuneralhomesi.com,15.0,236594,5515,3523,colonialfuneralhomesi,True
348,kamconewyork.com,28.0,1856,5982,2693,kamconewyork,True
349,hookreel.com,22.0,1283,6347,3065,hookreel,False
350,snug-harbor.org,61.0,24620,7362,6118,snug-harbor,False
351,childrensaidnyc.org,56.0,8501,7601,5355,childrensaidnyc,True
352,bsa-gnyc.org,46.0,516989,7707,4180,bsa-gnyc,False
353,signatureny.com,52.0,10462,8816,21028,signatureny,True
354,rumcsi.org,38.0,70605,10479,6888,rumcsi,True
355,siths.org,31.0,937,12391,4231,siths,True
356,siparent.com,34.0,22209,13243,4480,siparent,True
357,nyssbdc.org,59.0,404074,13432,3864,nyssbdc,True
358,stgeorgetheatre.com,49.0,116296,14659,5520,stgeorgetheatre,True
359,statenislandmall.com,28.0,3373,36417,22181,statenislandmall,True
360,wagner.edu,62.0,88465,51537,30936,wagner,True
361,silive.com,78.0,983912,527436,401271,silive,True
